objectid,case.item,caseid,aeon_id,itemimage,title,description,image_alt_text,attr,orig_link
2-6,2.6,2,57002,57002.webp,Mrs. Greece and Her Rough Lovers,"In this political satire, Greece is pictured as a short woman in braids with a Balkan kaftan cinched over a dress trimmed with a gold meander scroll on blue. She stands between the warring Ottoman and Russian Empires, personified as men in their respective military uniforms. The Ottoman, bearing a Quran in his belt, demands submission under the threat of “blood and fire,” emphasized by his scimitar and noose. Though Russia uses enticing words to persuade his fellow Orthodox Christians to leave the Ottomans, he carries a multi-tailed whip (Russian “imperial knout”) behind his back, suggesting harsh consequences for refusal. Small spectators back Russia, presumably representing European powers like Great Britain and France. Though the new Hellenic state was independent in theory, it was placed under the “protecting” powers of Britain, France and Russia, which chose the Bavarian prince Otto of Wittelsbach to become Greece’s king.",,"Shortshanks (pseudonym of Robert Seymour, artist, 1798–1836)
Hand-colored etching
London, England: Thomas McLean, 1828\nBrown University Library, Anne S. K. Brown Military Collection",https://repository.library.brown.edu/studio/item/bdr:231541/
2-7,2.7,2,60481,60481.webp,"Otto, König von Griechenland","In this procession, seventeen-year-old King Otto (r. 1832–62), bedecked in Greek garb, leads the Bavarian army into Athens, the capital of his Kingdom of Greece. The mounted retinue rides past ancient columns with the Acropolis looming in the distance. The troops standing at attention in the background suggest an uncontested arrival of a victorious ruler. Despite dressing the part, Otto’s bare face betrays his youth, which caused as much controversy as his non-Greek origins. Since Otto was a minor when nominated to the Greek throne, in actuality a regency of three Bavarian ministers ruled. King Otto remained a devout Catholic throughout his life. To many, a non-Orthodox ruler on the Greek throne proved absurd. Thus, in December 1839, a group of Greek notables organized a secret society to plan an uprising against Ottoman rule in Thessaly, Macedonia, and Epirus, and the eventual replacement of King Otto by an Orthodox ruler.\n",,"Gustav Wilhelm Kraus (artist, 1804–52)
Chromolithograph
Germany: J. B. Dresely, 1840
 Brown University Library, Anne S. K. Brown Military Collection",https://repository.library.brown.edu/studio/item/bdr:245650/
2-8,2.8,2,57004,57004.webp,The Hellenic National Song & Chorus of the Third of September 1843,"Reverberations of the Greek War of Independence inspired expatriates in the Anglophone world to produce nationalistic ephemera. Pericles Alexandrides, a trade merchant for the Bureau Oriental Company, translated this edition of the Hellenic national song from Greek. Alongside famous ancient sites, the neoclassical border features roundel portraits of the new power players of Greece: King Otto (left), Queen Amalia (right), and Dimitrios Kallergis (bottom), who served as a major general in the War of Independence and as a politician before becoming one of the most important protagonists of the 3 September 1843 Revolution. The cover showcases a scene from this significant moment: “Greeks demanding the Constitution.” This later uprising by the Hellenic army in Athens gained widespread popular support against King Otto’s autocratic rule. Led by veterans of the Greek War of Independence, rebels further ordered the departure of Bavarian officials who dominated the government, ushering in a constitutional monarchy.",,"Pericles Raftopoulos Alexandrides, Esq. (translator)
Tinted lithograph
London, England: Cramer, Beale & Co., 1843\nBrown University Library, Anne S. K. Brown Military Collection",https://repository.library.brown.edu/studio/item/bdr:389292/
3-1,3.1,3,59528,59528_Barnaby-Pirates_01m.webp,"Histoire de Barbarie, et de ses corsaires, divisée en sic livres…","Historian Robert Davis estimated that one million Europeans were enslaved by Barbary corsairs between 1530 and 1780. Subsequent accounts of American captivity in the Barbary states marked the latest incarnation in a long tradition of a travel genre that peaked in the 1680s and enjoyed continued popularity through the eighteenth and early nineteenth centuries in pamphlets and full volumes. Most early Barbary accounts were not written by captives but by missionaries, including this book’s author, Father Pierre Dan, in order to free certain captives. Yet white captives could often escape slavery by converting to Islam and settling in North Africa. Later accounts from freed captives and those who escaped slavery preserve many sartorial details of Ottoman North Africans, also demonstrating a keen fascination with regional customs from religion and government to law and punishment. These themes also appear in contemporaneous costume albums depicting dress across the Ottoman Empire.\n",,"Father Pierre Dan (author, c. 1580–1649)
Engraving
Paris, France: Chez Pierre Rocolet, 1637
Brown University Library, Starred Book Collection",https://bruknow.library.brown.edu/permalink/01BU_INST/9mvq88/alma991041347459706966
3-2,3.2,3,59527,,"An Authentic Narrative of the Loss of the American Brig Commerce, Wrecked on the Western Coast of Africa, in the Month of August, 1815\n","Many memoirs and fictionalized accounts of Barbary captivity sensationalized their experiences and focused on the exoticizing aspects of their captors’ society, piquing early interest in Algerian dress and regional methods of costume production. Despite varying widely in accuracy, these narratives helped shape American views of the Barbary states and contributed public support for government actions, like the dispatch of naval forces to the Mediterranean. These publications provide insights into daily life in Ottoman North Africa, such as traditions of various religious demographics in the region. Some document ceremonies like “A Jewish Circumcision” or Muslim prayers, pictured in this engraving. Others preserve rare images of indigenous textile crafts, like the wool-spinning and hand-weaving practiced by women on a plate depicting Arab tents in the Sahara.\n",,"James Riley (author, 1777–1840)
Copperplate engraving
New York, New York: Leavitt and Allen, 1818\nBrown University Library, Starred Book Collection",https://bruknow.library.brown.edu/permalink/01BU_INST/9mvq88/alma991034675319706966
3-3,3.3,3,57009,57009_Message-From-President_01m.webp,Message from the President of the United States Communicating Information Relative to the Commencement of War by the Dey of Algiers against the United States,"This pamphlet records three messages addressed to Congress between 1807 and 1808 regarding the seizure of two American merchant vessels from New York and Boston by an Algerian frigate. The Algerian privateers captured the ships and their holdings as booty, while taking members of both crews as prisoners for ransom. The captain of one schooner, the Mary Ann of New York, successfully retook the vessel, throwing four of the “Turks” overboard. As with many prisoners captured near the Barbary Coast, these men escaped a fate serving years as slaves sold on the Algerian market. By the end of the Second Barbary War (1815), the United States demanded treaties that freed its ships from both the Barbary threat of slavery and extorted tribute.\n",,"Thomas Jefferson (author, 1743–1826)
Letterpress print
Washington, DC: A. & G. Way, 1808
Brown University Library, Starred Book Collection",https://bruknow.library.brown.edu/permalink/01BU_INST/9mvq88/alma991028929649706966
3-4,3.4,3,57007,57007_Decaturs-Victory_01m.webp,Decatur's Victory over the Algerines,"Just before President Thomas Jefferson's inauguration in 1801, the pasha (Ottoman official) of Tripoli released the crew members of two captured American ships on the condition that the United States increase its tribute. If refused, the Barbary States would declare war. Jefferson ordered a naval expedition to the Mediterranean, resulting in the First Barbary War (1801–05), during which Tunis and Algiers broke their alliance with Tripoli. America engaged Tripoli and Morocco in numerous naval battles, including Lt. Stephen Decatur's daring raid on the Tripoli harbor to demolish a captured American ship and remove it from enemy hands. In the Second Barbary War (1815), now Commodore Decatur returned to lead a decisive American naval victory against the Algerian fleet, forcing the Dey of Algiers to negotiate a treaty that ended tribute payments and secured the release of American prisoners. This Boston broadside details the battle and memorializes the victory.\n",,"Nathaniel Coverly (author, c. 1775–1824)
Letterpress print
Boston, Massachusetts: Published by the author, 1815
Brown University Library, Harris Collection",https://bruknow.library.brown.edu/permalink/01BU_INST/9mvq88/alma991013234279706966
3-5,3.5,3,57008,57008_Brisbane_01m.webp,"Conference of Captn. Sir Jas. Brisbane with the Dey of Algiers, August 30th 1816","Three days before the conference illustrated here, Anglo-Dutch fleets bombarded Algiers to retaliate against the dey's violation of an antislavery treaty. Abraham Salamé, the Ottoman dragoman (interpreter) for the British, relates that the dey had also recently detained the British consul to Algiers, but his family escaped disguised in midshipmen’s clothes. The resulting attack continued a campaign by various European and American navies to suppress piracy in the Barbary states. This conference determined its outcome. The dragoman, in a plain Ottoman kaftan and turban, simultaneously relays Brisbane’s demands to the dey, seated cross-legged on a divan. His accoutrements of status include an opium pipe under his hand and a gold fly whisk (to his right). The dragoman and Brisbane each appear with a hand raised, indicating speech. The dey agreed to the expedition's demands, including large sums to compensate the British consul and the repatriation of 1,200 Christians abducted from Naples and Sicily.",,"George Francis Lyon (artist, 1795–1832)
Color aquatint\nLondon, England: October 25, 1816
Brown University Library, Anne S. K. Brown Military Collection",https://repository.library.brown.edu/studio/item/bdr:228126/
3-6,3.6,3,57005,57005_Assault-Port-of-Algiers_01m.webp,Bombardement et prise d’Alger (The Bombardment and Capture of Algiers),"Until 1830, Algiers, along with Tunis and Tripoli, reigned as one of three regencies under the suzerainty of the Ottoman sultan in Constantinople. Though Ottoman control was little more than nominal, it was still acknowledged from investiture of the position by the sultan and the sultan’s receipt of regular tribute. The Barbary States exerted power over Mediterranean trade routes by plundering merchant vessels and taking captives in exchange for ransom from European and American governments. In July 1830, French expeditionary forces conquered the city of Algiers, and by 1847, they subdued nearly all of what is now Algeria to the north of the Sahara. The conquest ended nearly 400 years of Ottoman rule and ushered in over 130 years of French colonial governance. The inscription reads, “France by the courage and the value of its soldiers has the honor alone to make the trade of the seas free to all nations.”",,"Hand-colored engraving
Paris, France: F. Dubreuil, 1830\nBrown University Library, Anne S. K. Brown Military Collection",https://repository.library.brown.edu/studio/item/bdr:227753/
3-7,3.7,3,57010,57010_Prise-de-Conastantin_15m.webp,“Batterie Couverte. Servie par des Arabes et des Turcs (Covered Battery. Used by the Arabs and Turks)” from Prise de Constantine\n,"This battle scene captures the intense guerrilla warfare used to defend the city of Constantine against the French invaders. Dark, cramped urban dwellings transformed into covered batteries from which Arabs and Turks repelled the French troops. The costumes of these North African soldiers also attest to the sartorial elements that the French would later adapt for the uniforms of native soldiers, known as Zouaves, that they would recruit into their own forces: loose pantaloons (shalvar), short jackets or vests and distinctive turbans wrapped around red fezzes. Admired for their ease of mobility, such outfits suited their wearers in the difficult terrain of this battle but would prove to have new applications and contexts abroad.\n",,"Denis Auguste Marie Raffet (lithographer, 1804–60)
Chromolithograph
Paris, France: Chez de Gihaut Freres, 1838\nBrown University Library, Anne S. K. Brown Military Collection",https://bruknow.library.brown.edu/permalink/01BU_INST/9mvq88/alma991033992179706966
3-8,3.8,3,57015,57015_Letter_01m.webp,"Letter from Algiers Ink and watercolor on paper, December 4, 8, 9, 1831","In this letter to a “dear friend” from a soldier stationed in Algeria, the writer alludes to early interest in Zouave dress merely a year after the conquest of Algiers. He relates, “You have expressed to me the desire to become acquainted with the uniform of the Zouaves; I have modeled it from life.” Fulfilling his friend’s desire, the writer includes a skillful watercolor of a Zouave, packed and ready for his marching orders in the left margin along with a description of his distinctive pantaloons and the braided cord trim of his jacket.\n",,"Monsieur Koechlin (recipient)\nBrown University Library, Anne S. K. Brown Military Collection",https://repository.library.brown.edu/studio/item/bdr:1093462/
3-9,3.9,3,57012,57012_Algier_01m.webp,"“Review After the Taking of Constantine, October 1837,” from Algier","Ahmed Bey bin Mohamed Sherif resisted French and other attempts to subjugate his beylik of Constantine. In November 1836, the French failed in their first attempt to capture Constantine but succeeded the following October. In the left of the foreground, toppled Muslim gravestones litter the ground, immediately identifiable by the turbans crowning the slabs, indicating the ranks of the deceased. These funerary representations of sartorial details make a fitting reminder of the Ottoman social order that had fallen in the region. The Arab tribesmen in white robes look toward the rows of French soldiers and the Zouaves enlisted from local populations.  French officers designed the distinctive Zouave uniform for the North African troops they recruited shortly after the 1830 invasion. The success of the second Constantine expedition inspired an explosion of popular prints and photographs depicting Zouave uniforms, which solidified the place of the Armée d’Afrique in the French collective imagination.",,"Lithograph
Denis Auguste Marie Raffet (lithographer, 1804–60)
Brown University Library, Anne S. K. Brown Military Collection",https://bruknow.library.brown.edu/permalink/01BU_INST/9mvq88/alma991008047249706966
3-10,3.1,3,57011,57011_French-Invasion-of-Algiers_02m.webp,"“Quelle chance!! V’a Abd-el-Kader et toute son armée, nous sommes dix….ils sont pincé… (What luck!! Here Comes Abd-el-Kader and His Whole Army, There Are Ten of Us…They Are Done for…),” from À la guerre comme à la guerre\n","By 1840, the Sufi sheikh and military leader Abd el-Kader had succeeded his father in leading the Algerian resistance to the French in the west. He had united enough members from the tribes of western Algeria to muster an army of around 2,000 warriors under his banner as Amir al-Mu'minin (Commander of the Faithful). He skillfully evaded capture by French generals numerous times before his eventual surrender in 1847. Fittingly, the French title of the volume, À la guerre comme à la guerre, translates to “When at war, do as you must (or make do with what one has).” The phrase roughly correlates to the colloquialism “keep a stiff upper lip,” particularly in the face of Abd el-Kader’s fearsome reputation among French soldiers at this time. In this print, French soldiers weakly joke about their vastly outnumbered forces as Emir Abd el-Kader marches forward with his army of tribesmen in white robes.",,"Amédée de Noé (Cham) (author, 1819–79)
Chromolithograph
Paris, France: Aubert & Cie, 1845
Brown University Library, Anne S. K. Brown Military Collection",https://bruknow.library.brown.edu/permalink/01BU_INST/9mvq88/alma991038950069706966
4-1,4.1,4,57019,Turco.webp,Turco,"The paper support of this costume study of a Zouave soldier has a distinctive texture: it feels unexpectedly smooth, as if sized (treated in a starch bath), then burnished with a polished stone. Such characteristics were common in paper products prepared in Islamicate societies like the former Ottoman region of Algiers. These details suggest that Lalaisse likely purchased this paper while traveling in Algeria. In 1857, Lalaisse accompanied his former drawing student, now diplomat Camille Silvy on a commission from the Minister of Public Instruction to draw buildings and scenes to encourage emigration to its new Algerian colony. The subject matter, mission, and materiality of this costume study embody the cultural translations that occurred during the French colonization of the region. Lalaisse’s eyewitness drawing on locally produced paper would later enable armchair travelers and popular illustrators to disseminate these images to potential emigrants in France.
Cartes-de-visite were commonly traded among friends and visitors in the 1860s. The albums that collected and displayed these cards became a common fixture in Victorian parlors. Their relatively low cost contributed to the popularity of the format and its rapid adoption worldwide, which made portrait photographs accessible to a broader demographic. The cards also made the ideal way to remember loved ones fighting in foreign wars, making soldiers frequent clients at photography studios. Prior to the advent of mechanical reproduction of photographs, cartes-de-visite facilitated the dissemination and collection of portraits of prominent persons as an early form of celebrity culture. It is uncertain whether these photographs were given as personal portraits between familiars or as character types of ethnic groups serving in the French Army, which was also a common use of these carte-de-visite, akin to earlier costume album paintings.\nAll of these cartes-de-visite feature Zouave uniforms, yet only the one portraying Turcos was definitively photographed by a studio in Algiers. Part of the appeal of this cross-cultural uniform was how intentionally difficult it became to discern the ethnic origins of a soldier with certainty (though the titles tirailleurs and turcos often indicated troops of North African descent). Likewise, the popularity of Zouave soldiers — and the women who served as cantinières, or canteen keepers, and who sometimes fought alongside them in battle — spurred many French consumers and performers, including female burlesque dancers, to dress in Zouave costumes for studio portraits. Though a highly exoticizing use of regional fashion, the rising numbers of commercial portraits of civilians donning Zouave costumes attest to how these soldiers and the visual traces of colonization had infiltrated the popular imaginations of French consumers.\n","Original sepia drawing, unsigned (by Lalaisse), numbered 42; standing uniform figure in profile with turban, cloak and gun, smaller mounted figure (rear view) in right background.","François-Hippolyte Lalaisse (artist, 1812–84)
Ink drawing on paper
Algeria, 1848\nBrown University Library, Anne S. K. Brown Military Collection",https://repository.library.brown.edu/studio/item/bdr:225139/
4-2,4.2,4,57017,57017_2-Zouave-Tirailleur_01m.webp,Kriegsgefangene: Tirailleurs (Light Infantrymen from Senegal and Algeria),"Cartes-de-visite were commonly traded among friends and visitors in the 1860s. The albums that collected and displayed these cards became a common fixture in Victorian parlors. Their relatively low cost contributed to the popularity of the format and its rapid adoption worldwide, which made portrait photographs accessible to a broader demographic. The cards also made the ideal way to remember loved ones fighting in foreign wars, making soldiers frequent clients at photography studios. Prior to the advent of mechanical reproduction of photographs, cartes-de-visite facilitated the dissemination and collection of portraits of prominent persons as an early form of celebrity culture. It is uncertain whether these photographs were given as personal portraits between familiars or as character types of ethnic groups serving in the French Army, which was also a common use of these carte-de-visite, akin to earlier costume album paintings.\nAll of these cartes-de-visite feature Zouave uniforms, yet only the one portraying Turcos was definitively photographed by a studio in Algiers. Part of the appeal of this cross-cultural uniform was how intentionally difficult it became to discern the ethnic origins of a soldier with certainty (though the titles tirailleurs and turcos often indicated troops of North African descent). Likewise, the popularity of Zouave soldiers — and the women who served as cantinières, or canteen keepers, and who sometimes fought alongside them in battle — spurred many French consumers and performers, including female burlesque dancers, to dress in Zouave costumes for studio portraits. Though a highly exoticizing use of regional fashion, the rising numbers of commercial portraits of civilians donning Zouave costumes attest to how these soldiers and the visual traces of colonization had infiltrated the popular imaginations of French consumers.\n",,"Gustav Sölch (photographer, active 1870s)
Photograph (carte-de-visite), 1870
Brown University Library, Anne S. K. Brown Military Collection",https://repository.library.brown.edu/studio/item/bdr:85640/
4-3a,4.3,4,57018,57018_Turcos-and-Zouaves_01m.webp,Turco,"Cartes-de-visite were commonly traded among friends and visitors in the 1860s. The albums that collected and displayed these cards became a common fixture in Victorian parlors. Their relatively low cost contributed to the popularity of the format and its rapid adoption worldwide, which made portrait photographs accessible to a broader demographic. The cards also made the ideal way to remember loved ones fighting in foreign wars, making soldiers frequent clients at photography studios. Prior to the advent of mechanical reproduction of photographs, cartes-de-visite facilitated the dissemination and collection of portraits of prominent persons as an early form of celebrity culture. It is uncertain whether these photographs were given as personal portraits between familiars or as character types of ethnic groups serving in the French Army, which was also a common use of these carte-de-visite, akin to earlier costume album paintings.\nAll of these cartes-de-visite feature Zouave uniforms, yet only the one portraying Turcos was definitively photographed by a studio in Algiers. Part of the appeal of this cross-cultural uniform was how intentionally difficult it became to discern the ethnic origins of a soldier with certainty (though the titles tirailleurs and turcos often indicated troops of North African descent). Likewise, the popularity of Zouave soldiers — and the women who served as cantinières, or canteen keepers, and who sometimes fought alongside them in battle — spurred many French consumers and performers, including female burlesque dancers, to dress in Zouave costumes for studio portraits. Though a highly exoticizing use of regional fashion, the rising numbers of commercial portraits of civilians donning Zouave costumes attest to how these soldiers and the visual traces of colonization had infiltrated the popular imaginations of French consumers.\n",,"Jean-Baptiste Antoine Alary (photographer, 1811–c. 1867)\nand Jean Théophile Geiser (photographer, 1848–1923)
Albumen photograph (carte-de-visite)
Alary & Geiser, Algiers, 1858\nBrown University Library, Anne S. K. Brown Military Collection",https://repository.library.brown.edu/studio/item/bdr:86039/
